UniProt_ID,rho_evo_struct,rho_seq_struct
RDRP_I33A0,-0.02216153678992738,-0.05505224140348101
REV_HV1H2,-0.0449007853583739,0.14706182019340333
RFAH_ECOLI,-0.0907303522938417,-0.146755893889204
RL20_AQUAE,-0.25892426636213284,-0.3319841609338407
RL40A_YEAST,0.06155181121908753,0.059503403357856054
RNC_ECOLI,-0.033749870051711345,-0.06069549849769171
RPC1_BP434,-0.16372459813206558,0.011160035601959566
RPC1_LAMBD,-0.28743844886833475,-0.3862125396750622
RS15_GEOSE,-0.16374437454357132,-0.11686768684442228
S22A1_HUMAN,0.15297627399750283,0.11903149349900932
SBI_STAAM,-0.3736564193371829,0.054067909575727005
SC6A4_HUMAN,0.052371550296406534,0.13654714987875596
SCIN_STAAR,-0.031758530305272266,0.14894138289723283
SERC_HUMAN,-0.004980077002828926,-0.022869411410931562
SHOC2_HUMAN,0.01602120446378547,0.03452436867814607
SOX30_HUMAN,-0.11440609307580397,0.05010533141506882
SPA_STAAU,-0.2863739675011964,0.18121144353218815
SPG1_STRSG,-0.059235209235209245,-0.13340548340548344
SPG2_STRSG,-0.26980654926663705,-0.3188871427232992
SPIKE_SARS2,-0.038555618073422324,0.008378925450884598
SPTN1_CHICK,-0.042569745536450335,0.07155162843104412
SRBS1_HUMAN,-0.022608452745785233,0.03234625057450826
SRC_HUMAN,-0.07814397848130374,-0.08747911340894539
SUMO1_HUMAN,-0.06744484159705859,0.159001349714385
SYUA_HUMAN,-0.0699723176139603,0.014460081729278724
TADBP_HUMAN,0.10099527174665147,0.017353974513660213
TAT_HV1BR,0.11226615591872093,0.16091097527772544
TNKS2_HUMAN,0.15555912752208045,0.20065169445173858
TPK1_HUMAN,-0.09500678348874254,-0.09191545554725168
TPMT_HUMAN,-0.0021849204917111405,0.048309590868034206
TRPC_SACS2,0.11067865832991462,0.09574331136324675
TRPC_THEMA,-0.03339369755745519,0.0463104594768359
UBC9_HUMAN,-0.05384061868084122,-0.08107051424096602
UBE4B_HUMAN,-0.09978625076645703,-0.011473043844989931
UBE4B_MOUSE,-0.09453235661170291,-0.14428087159374395
UBR5_HUMAN,-0.15300613687461223,0.04278880908576309
VILI_CHICK,0.14681264891287385,-0.052383137755903336
VKOR1_HUMAN,-0.06397213497584482,0.021044133970720573
VRPI_BPT7,-0.13565288737344375,0.09973170202965706
YAIA_ECOLI,-0.39980362167589817,-0.13810621635040368
