UniProt_ID,dD_evo_struct,dD_std
SHOC2_HUMAN,-0.007960858871356613,0.09856367557210699
SOX30_HUMAN,0.10895582489348915,0.05024414182852499
SPA_STAAU,0.14047184081442865,-0.044184790091593484
SPG1_STRSG,0.012416222962304213,0.028148853954928166
SPG2_STRSG,0.1994756067753049,-0.005171111284504093
SPIKE_SARS2,-0.006064917882896204,-0.02395814885102754
SPTN1_CHICK,0.1102335325376902,-0.07812382705924659
SRBS1_HUMAN,0.06500093928443268,0.14354918791887428
SRC_HUMAN,0.058710055229153624,0.0025677196249513923
SUMO1_HUMAN,-0.005472433643059216,0.04126310239999975
SYUA_HUMAN,0.11371600093628897,0.007609440037933957
TADBP_HUMAN,-0.03667793781634443,-0.1223024664753325
TAT_HV1BR,-0.12986540120403411,-0.12164369191165947
TNKS2_HUMAN,0.02054769015654001,0.013571906734025863
TPK1_HUMAN,0.046178221279919496,0.020707120804430046
TPMT_HUMAN,0.01253447725420781,-0.0028648537981447175
TRPC_SACS2,-0.07407919662852175,0.04652950495507813
TRPC_THEMA,0.04048376879019222,0.006093793106700662
UBC9_HUMAN,0.0382126330810898,0.007467011397594869
UBE4B_HUMAN,0.08560853512624078,0.016239155472787203
UBE4B_MOUSE,0.0024385255549160822,-0.032425683143716966
UBR5_HUMAN,0.060762864543044304,0.022736347897060583
VILI_CHICK,-0.16868256323032949,0.027518582793016555
VKOR1_HUMAN,0.010977952686622716,0.021010107686403434
VRPI_BPT7,0.051301258049331944,0.07563702552933405
YAIA_ECOLI,0.40567308389873247,0.00463971075953129
