DMS_id,n_variants,median_D,p95_D,frac_highD
ENV_HV1BR_Haddox_2016,12863,0.6631887910060352,1.016052754818658,0.10005441965326907
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1239,0.5276951681647184,0.8740542241573784,0.10008071025020178
ERBB2_HUMAN_Elazar_2016,326,0.5967099869829766,0.8461851858153671,0.10122699386503067
ESTA_BACSU_Nutschel_2020,2172,0.6033340920442942,0.9044516264881433,0.1003683241252302
F7YBW8_MESOW_Aakre_2015,37,0.5571205731064898,1.0697127788171312,0.10810810810810811
F7YBW8_MESOW_Ding_2023,80,0.5663199817152382,0.8412603464785935,0.1
FECA_ECOLI_Tsuboyama_2023_2D1U,1219,0.5337328235886266,0.9137477309162019,0.10008203445447088
FKBP3_HUMAN_Tsuboyama_2023_2KFV,1237,0.684062866704363,1.0023003186604484,0.10024252223120453
GAL4_YEAST_Kitzman_2015,1195,0.5491266235663611,0.8713614376611192,0.100418410041841
GCN4_YEAST_Staller_2018,33,0.6598112774132824,1.0931309152423638,0.12121212121212122
GDIA_HUMAN_Silverstein_2021,1154,0.5640436039628192,0.8330184486500454,0.10051993067590988
GFP_AEQVI_Sarkisyan_2016,1084,0.7192803172674062,1.0900837168570827,0.10055350553505535
GLPA_HUMAN_Elazar_2016,245,0.6257167799989031,0.9075523756402135,0.10204081632653061
GRB2_HUMAN_Faure_2021,1034,0.49903071918755637,0.7119640709307201,0.10058027079303675
HCP_LAMBD_Tsuboyama_2023_2L6Q,1040,0.6005532220129575,0.9534464772637757,0.1
HECD1_HUMAN_Tsuboyama_2023_3DKM,1244,0.63116404178027,0.9262368010640384,0.10048231511254019
HEM3_HUMAN_Loggerenberg_2023,5689,0.5784191038809365,0.8932002002178773,0.10001757778168395
HIS7_YEAST_Pokusaeva_2019,168,0.6235642748040763,0.9277832894690056,0.10119047619047619
HMDH_HUMAN_Jiang_2019,16853,0.6066247445909477,0.9192876150228055,0.10004153563163828
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,2252,0.5792579956687216,0.8769362037766176,0.10035523978685613
HSP82_YEAST_Flynn_2019,13294,0.5510379957963856,0.8466694306243733,0.10004513314277118
HSP82_YEAST_Mishra_2016,4323,0.5315617255753561,0.8136526294043859,0.10016192458940551
HXK4_HUMAN_Gersing_2022_activity,8570,0.562597329018059,0.8362102156663083,0.1
HXK4_HUMAN_Gersing_2023_abundance,8396,0.5380026891937539,0.831211584338068,0.10004764173415913
I6TAH8_I68A0_Doud_2015,9462,0.7503529993591727,1.136994829728152,0.1000845487212006
IF1_ECOLI_Kelsic_2016,1367,0.5257319190105325,0.8574400253611755,0.10021945866861741
ILF3_HUMAN_Tsuboyama_2023_2L33,1329,0.6060877836746094,1.0066167404681516,0.1000752445447705
ISDH_STAAW_Tsuboyama_2023_2LHR,940,0.6247021576911127,1.1128221086709098,0.1
KCNE1_HUMAN_Muhammad_2023_expression,2339,0.6312255724796173,0.9801452082479374,0.10004275331338179
KCNE1_HUMAN_Muhammad_2023_function,2315,0.6329630192059708,0.9817209890830866,0.1002159827213823
KCNH2_HUMAN_Kozek_2020,200,0.6838199346457179,0.9413590355772594,0.1
